id,error
379,1.448927
380,4.245315
381,2.897818
382,1.291071
383,3.619861
384,1.395262
385,2.650944
386,4.992610
387,2.919147
388,4.190515
389,2.103266
390,3.371555
391,5.287593
392,5.089313
393,3.406391
394,4.957518
395,4.920389
396,1.373530
397,5.010357
398,2.756693
399,2.409121
400,3.269866
401,4.237201
402,1.609063
403,2.487646
404,1.909938
405,3.003285
406,4.723040
407,4.102588
408,3.177869
409,0.626435
410,2.068076
411,3.088451
412,2.832732
413,0.712144
414,1.933192
415,4.469912
416,5.289717
417,1.612992
418,2.555507
419,3.147102
420,3.275156
421,5.053697
422,1.696819
423,2.707272
424,3.561405
425,2.521789
426,3.432704
427,2.801723
428,3.458873
429,5.495352
430,5.259436
431,1.451200
432,1.909280
433,4.908560
434,4.640741
435,1.097465
436,2.711801
437,0.455715
438,4.663090
439,5.072180
440,4.408262
441,0.989579
442,5.124212
443,3.282867
444,3.395568
445,3.081053
446,1.576922
447,4.501967
448,1.691822
449,4.936780
450,3.561765
451,3.019651
452,3.301895
453,1.284174
454,3.904297
455,0.556934
456,4.926391
457,1.590140
458,3.184091
459,3.817106
460,3.467899
461,5.184383
462,1.366415
463,4.762156
464,2.953718
465,3.694712
466,1.617090
467,0.891513
468,2.425284
469,1.110649
470,3.879593
471,1.160241
472,3.061298
473,1.418944
474,2.790095
475,1.288012
476,4.849355
477,3.516571
478,0.430363
479,4.332262
480,0.647508
481,3.954580
482,1.974003
483,4.385422
484,1.366866
485,4.838407
486,4.150049
487,4.893822
488,2.535114
489,1.327376
490,4.954927
491,3.422753
492,3.488639
493,5.279377
494,1.849246
495,5.251610
496,4.045154
497,1.306772
498,2.786352
499,0.809369
500,0.837555
501,2.868750
502,5.302163
503,4.526552
504,3.429098
505,0.771160
506,4.053016
507,1.303637
508,0.437442
509,1.675997
510,4.186696
511,1.669489
512,4.351449
513,3.826819
514,3.345291
515,2.164438
516,4.436819
517,2.437090
518,4.154185
519,4.341906
520,5.149734
521,2.942941
522,3.873343
523,4.921184
524,4.966286
525,1.018057
526,1.488989
527,3.442936
528,4.642884
529,5.076278
530,4.506084
531,2.445150
532,1.091151
533,1.108682
534,3.139504
535,1.508240
536,1.429038
537,3.162606
538,3.493345
539,3.365855
540,1.861493
541,3.200314
542,1.235967
543,1.309868
544,2.301050
545,1.478540
546,1.687871
